city,province,city_area,builtup_area,reg_pop,resident_pop,gdp,,,,,,,,,,,,,,,,,,,
上海,上海,6341,1563,1433.62,2415.27,24964.99,,,,,,,,,,,,,,,,,,,
北京,北京,16410,1401.01,1347.9,2170.5,22968.6,,,,,,,,,,,,,,,,,,,
广州,广东,7434,1237.25,854.19,1350.11,18100.4,,,,,,,,,,,,,,,,,,,
深圳,广东,1997,900,369.64,1137.87,17502.8,,,,,,,,,,,,,,,,,,,
天津,天津,11760,885.43,1026.91,1546.95,16538.19,,,,,,,,,,,,,,,,,,,
重庆,重庆,82137,1329.45,3371.84,3016.55,15719.72,,,,,,,,,,,,,,,,,,,
苏州,江苏,8657,458.29,667.01,1061.6,14504.07,,,,,,,,,,,,,,,,,,,
武汉,湖北,8494,566.13,829.27,1060.77,10905.6,,,,,,,,,,,,,,,,,,,
成都,四川,12119,615.71,1228.1,1465.75,10801.16,,,,,,,,,,,,,,,,,,,
杭州,浙江,16596,506.09,723.55,901.8,10050.21,,,,,,,,,,,,,,,,,,,
南京,江苏,6587,755,653.4,823.59,9720.77,,,,,,,,,,,,,,,,,,,
青岛,山东,3231,566.4,783.09,909.7,9300.07,,,,,,,,,,,,,,,,,,,
无锡,江苏,4627,329.43,480.9,651.1,8518.26,,,,,,,,,,,,,,,,,,,
长沙,湖南,11820,312.3,651.19,743.18,8510.13,,,,,,,,,,,,,,,,,,,
佛山,广东,3868,158.05,388.97,743.06,8003.9,,,,,,,,,,,,,,,,,,,
宁波,浙江,9816,321.91,586.57,782.5,8003.61,,,,,,,,,,,,,,,,,,,
大连,辽宁,13237,395.5,593.6,698.55,7731.64,,,,,,,,,,,,,,,,,,,
郑州,河南,7446,437.6,770,957,7311.52,,,,,,,,,,,,,,,,,,,
沈阳,辽宁,12948,465,730.4,828.9,7272.31,,,,,,,,,,,,,,,,,,,
烟台,山东,2722,324,653.28,701.41,6446.08,,,,,,,,,,,,,,,,,,,
重庆主城九区,重庆,5473,593,652.19,834.82,6394.47,,,,,,,,,,,,,,,,,,,
东莞,广东,2465,932.05,195.01,825.41,6275,,,,,,,,,,,,,,,,,,,
南通,江苏,10549,204.72,766.77,730,6148.4,,,,,,,,,,,,,,,,,,,
泉州,福建,11245,206.5,722.45,847.5,6137.71,,,,,,,,,,,,,,,,,,,
唐山,河北,13472,249,733.9,780.12,6103.06,,,,,,,,,,,,,,,,,,,
济南,山东,3257,393,625.73,713.2,6100.23,,,,,,,,,,,,,,,,,,,
西安,陕西,10106,500.59,815.66,870.56,5810.03,,,,,,,,,,,,,,,,,,,
合肥,安徽,11445,416,717.72,778.95,5660.27,,,,,,,,,,,,,,,,,,,
福州,福建,11763,260.05,678.37,746.5,5618.08,,,,,,,,,,,,,,,,,,,
长春,吉林,20594,506.33,753.84,753.84,5530.03,,,,,,,,,,,,,,,,,,,
石家庄,河北,15848,278.05,977.41,1070.16,5440.59,,,,,,,,,,,,,,,,,,,
徐州,江苏,11765,255.2,1028.7,866.9,5319.88,,,,,,,,,,,,,,,,,,,
常州,江苏,4372,250.31,370.85,470.14,5273.15,,,,,,,,,,,,,,,,,,,
潍坊,山东,2006,178,893.71,927.72,5170.53,,,,,,,,,,,,,,,,,,,
温州,浙江,12065,238.4,811.21,911.7,4618.08,,,,,,,,,,,,,,,,,,,
绍兴,浙江,8279,199.4,443.11,496.8,4465.97,,,,,,,,,,,,,,,,,,,
鄂尔多斯市,内蒙古,86800,116.42,204.51,204.51,4226.13,,,,,,,,,,,,,,,,,,,
盐城,江苏,16931,142.37,828.03,722.85,4212.5,,,,,,,,,,,,,,,,,,,
淄博,山东,2989,267,429.6,464.2,4130.24,,,,,,,,,,,,,,,,,,,
扬州,江苏,6591,140,461.12,448.36,4016.84,,,,,,,,,,,,,,,,,,,
济宁,山东,1648,193.8,867.44,829.92,4013.12,,,,,,,,,,,,,,,,,,,
南昌,江西,7402,307.3,517.13,530.29,4000.01,,,,,,,,,,,,,,,,,,,
临沂,山东,2657,213,1124.04,1031.16,3763.17,,,,,,,,,,,,,,,,,,,
包头市,内蒙古,27700,195.79,282.93,282.93,3721.93,,,,,,,,,,,,,,,,,,,
泰州,江苏,5787,104.7,507.85,464.16,3687.9,,,,,,,,,,,,,,,,,,,
台州,浙江,9411,139.8,597.49,604.9,3553.85,,,,,,,,,,,,,,,,,,,
嘉兴,浙江,3915,115.78,349.48,458.5,3517.81,,,,,,,,,,,,,,,,,,,
镇江,江苏,3840,137.5,271.67,317.65,3502.48,,,,,,,,,,,,,,,,,,,
洛阳,河南,15200,209.37,700,674,3469.03,,,,,,,,,,,,,,,,,,,
厦门,福建,1652,317.1,211.15,383.5,3466.03,,,,,,,,,,,,,,,,,,,
东营,山东,3294,118.7,190.62,211.06,3450.64,,,,,,,,,,,,,,,,,,,
南宁,广西,22099,287,740.23,695,3410.08,,,,,,,,,,,,,,,,,,,
金华,浙江,10942,80.2,478.09,545.4,3402.34,,,,,,,,,,,,,,,,,,,
